url,Generation,Reference,B-Moses,B-Norm,B-CC
https://github.com/jenkinsci/jenkins/commit/286d3141854b48edb38e8e802f0d85fd1b8ffd40,Noting,Noting,0.0,100.0,19.25
https://github.com/spring-projects/spring-framework/commit/33d37e86800ea4500957eb82d4be87e81c3b940f,Polish,Polish,0.0,100.0,19.25
https://github.com/ctripcorp/apollo/commit/84690cc60ff3bcc8ba3c0daf5845063ce59d6398,add known user,add known user,0.0,100.0,70.32
https://github.com/apache/shardingsphere/commit/8e2f52a597ed8a29752b7e07e3d7bcee15e640c4,", refactor JDBCXABackendDataSourceFactory",", refactor JDBCXABackendDataSourceFactory",0.0,100.0,70.32
https://github.com/redisson/redisson/commit/c5bc1e9cd3510939ef4ce189456d2eb6ac63677c,kryo updated,kryo updated,0.0,100.0,39.04
https://github.com/libgdx/libgdx/commit/95740b7b5906a1c84d423da50fae3fd923a0f8c6,Update CHANGES,Update CHANGES,0.0,100.0,39.04
https://github.com/google/ExoPlayer/commit/a3ca5c48b388cdcce89b016d0c635b31ec1f88e7,Update ISSUE_TEMPLATE,Update ISSUE_TEMPLATE,0.0,100.0,39.04
https://github.com/apache/shardingsphere/commit/dc4273686644d327a2810d365ed5cbceeb1cafa0,add select_order_by_with_table_star_table_name,change name select_order_by_with_table_star_table_name for parser,0.0,78.30841953,2.86
https://github.com/libgdx/libgdx/commit/e9219d9f30d01cb669efc39b22e79056c9b4825d,updated CHANGES,Update CHANGES,0.0,70.71067812,12.83
https://github.com/elastic/elasticsearch/commit/74bd4f78818b3fb60c69dc3c985961d7b861605c,remove unused logger,Remove unused property,0.0,68.6589048,10.69
https://github.com/google/ExoPlayer/commit/3c6b72ee29f5cebc1079648a73c461a26e035fa8,Fix nullness error,Fix nullness test,0.0,68.6589048,25.0
https://github.com/nostra13/Android-Universal-Image-Loader/commit/24ca7dd0dbaee8a011aad6195f33e840793e7df9,Built the latest version,Built the latest snapshot,0.0,65.80370065,45.95
https://github.com/spring-projects/spring-boot/commit/136cdacb401f867e3ab2e299c209994f985ac98e,Add Gradle Wrapper validation,Add Gradle Wrapper Validation GitHub Action,0.0,67.0320046,27.87
https://github.com/jenkinsci/jenkins/commit/fa172f4171a455f8254307e98ae3d2e1e4b65c8c,typo,typo .,0.0,60.65306597,7.08
https://github.com/alibaba/fastjson/commit/6ad50106314398c837ecf37600d7ea57f75950c0,fixed issue,fixed for issue,0.0,60.25286105,11.67
https://github.com/alibaba/nacos/commit/e6be0f76347148f40dccefdad62e436b50579306,remove nacos test,Remove tmp directory,0.0,48.54917717,0.0
https://github.com/SeleniumHQ/selenium/commit/74139dd78378073c64b89bb9e6fe5696ad8ab7b4,PetSoar !,PetSoar ! not PetStore,0.0,51.3417119,14.36
https://github.com/apache/shardingsphere/commit/47178abe6c02148993978b1f615cafa54e20046b,", refactor Int2BinaryProtocolValueTest Int2BinaryProtocolValueTest execute",", refactor Int2BinaryProtocolValueTest",0.0,49.49232004,35.56
https://github.com/apache/shardingsphere/commit/225484c4ef0f70f4b120fae98de6fa32bb813738,", refactor TimeBinaryProtocolValueTest TimeBinaryProtocolValueTest execute",", refactor TimeBinaryProtocolValueTest",0.0,49.49232004,35.56
https://github.com/dianping/cat/commit/f7fb3650df57cdc0baef9c5151316732416418cd,fix logview bug,modifty the logview,0.0,48.54917717,10.69
https://github.com/apache/shardingsphere/commit/2ebe1ed2112a0ef99dde4903f7299344a509a124,add configMapOrchestrationListener ( ),add setup ( ),0.0,50.0,22.8
https://github.com/dbeaver/dbeaver/commit/7e9c72d260125ff6b84dbbd01fe583acf9cbdcbe,Mock Data name fix,Mock data tool icon,0.0,45.18010018,9.62
https://github.com/zxing/zxing/commit/850b88432014cd4bae0644d02d047ed44ea89434,Update rat to 0 . 11,RAT 0 . 11,0.0,42.72870064,29.62
https://github.com/SeleniumHQ/selenium/commit/7a375e110d8b2cb57ae604f1160af0aca90fd0ea,[ py ] fix EdgeOptions,[ py ] Remove unused import,0.0,41.89434443,29.11
https://github.com/redisson/redisson/commit/c7d2afbaf42c423457349a23e5e8dcd3ba760fdb,RedissonRedLock . sync fixed,RedissonRedLock unlock fixed .,0.0,42.04482076,16.04
https://github.com/spring-projects/spring-framework/commit/620a898e60f107afe963f9e2db9c78e54f3fd399,Fix typo in websocket ( ),Fix typo in documentation,0.0,39.76353644,29.62
https://github.com/eugenp/tutorials/commit/eb33074a0ee4a31c538e4523367a80a9c3c63cc6,Fix test error,Simulate false unit test,0.0,37.8101372,7.66
https://github.com/spring-projects/spring-framework/commit/e6353f0ec7d92e4174044be05ac13b14732229b2,Fix test,Fix JUnit reports location,0.0,36.30407264,4.72
https://github.com/alibaba/druid/commit/fb63307be3605209a6937d6735824cd2a0364f08,bug fixed for issue,"bug fixed for SQLInListExpr , issue 1076",0.0,38.80684295,23.43
https://github.com/google/guava/commit/9657adb9a22190fd43ff06d2aecbfc66f1135dc3,Add @ since annotation to Enums .,Add @ since for Enums . getField .,0.0,35.84254622,28.47
https://github.com/oracle/graal/commit/b6144f0233a75c1040e8b40ebdde097953a6daf9,add . gitignore,SDK : Add missing . gitignore,0.0,35.89209635,9.2
https://github.com/spring-projects/spring-boot/commit/85eb279b30f9f6d99f5eaf83bdcd3b4bec22efdc,Add Gradle Wrapper validation,"Reintroduce "" Add Gradle Wrapper Validation GitHub Action """,0.0,36.78794412,13.16
