url,Generation,Reference,code_diff,Author1,Author2,Author3
https://github.com/jenkinsci/jenkins/commit/286d3141854b48edb38e8e802f0d85fd1b8ffd40,Noting,Noting,"diff --git a/changelog.html b/changelog.html
index 945b151e60be..a526609a01fb 100644
--- a/changelog.html
+++ b/changelog.html
@@ -106,6 +106,9 @@
   <li class=""rfe"">
     Don't advertise POSTing config.xml on master
     (<a href=""https://issues.jenkins-ci.org/browse/JENKINS-16264"">issue 16264</a>)
+  <li class=""bug"">
+    Handle null parameter values to avoid massive executor deaths
+    (<a href=""https://issues.jenkins-ci.org/browse/JENKINS-15094"">issue 15094</a>)
 </ul>
 </div><!--=TRUNK-END=-->
 
",4,4,4
https://github.com/spring-projects/spring-framework/commit/33d37e86800ea4500957eb82d4be87e81c3b940f,Polish,Polish,"diff --git a/spring-context/src/main/java/org/springframework/context/annotation/ComponentScan.java b/spring-context/src/main/java/org/springframework/context/annotation/ComponentScan.java
index ffd202737b0c..eaab654ec702 100644
--- a/spring-context/src/main/java/org/springframework/context/annotation/ComponentScan.java
+++ b/spring-context/src/main/java/org/springframework/context/annotation/ComponentScan.java
@@ -163,7 +163,7 @@
 		 * <p>Specifying zero classes is permitted but will have no effect on component
 		 * scanning.
 		 */
-		Class<?>[] value(); //doco
+		Class<?>[] value();
 	}
 
 }
",4,4,4
https://github.com/ctripcorp/apollo/commit/84690cc60ff3bcc8ba3c0daf5845063ce59d6398,add known user,add known user,"diff --git a/doc/images/known-users/xinyongfei.png b/doc/images/known-users/xinyongfei.png
new file mode 100644
index 0000000000..1de207851b
Binary files /dev/null and b/doc/images/known-users/xinyongfei.png differ
",4,4,4
https://github.com/apache/shardingsphere/commit/8e2f52a597ed8a29752b7e07e3d7bcee15e640c4,", refactor JDBCXABackendDataSourceFactory",", refactor JDBCXABackendDataSourceFactory","diff --git a/sharding-proxy-postgres/src/main/java/org/apache/shardingsphere/shardingproxy/backend/communication/jdbc/datasource/JDBCXABackendDataSourceFactory.java b/sharding-proxy-postgresql/src/main/java/org/apache/shardingsphere/shardingproxy/backend/communication/jdbc/datasource/JDBCXABackendDataSourceFactory.java
similarity index 100%
rename from sharding-proxy-postgres/src/main/java/org/apache/shardingsphere/shardingproxy/backend/communication/jdbc/datasource/JDBCXABackendDataSourceFactory.java
rename to sharding-proxy-postgresql/src/main/java/org/apache/shardingsphere/shardingproxy/backend/communication/jdbc/datasource/JDBCXABackendDataSourceFactory.java
",4,4,4
https://github.com/redisson/redisson/commit/c5bc1e9cd3510939ef4ce189456d2eb6ac63677c,kryo updated,kryo updated,"diff --git a/redisson/pom.xml b/redisson/pom.xml
index fca2a884ae..a9056e8812 100644
--- a/redisson/pom.xml
+++ b/redisson/pom.xml
@@ -197,7 +197,7 @@
         <dependency>
             <groupId>com.esotericsoftware</groupId>
             <artifactId>kryo</artifactId>
-            <version>5.0.0</version>
+            <version>5.0.3</version>
             <scope>provided</scope>
             <optional>true</optional>
         </dependency>
",4,4,4
https://github.com/libgdx/libgdx/commit/95740b7b5906a1c84d423da50fae3fd923a0f8c6,Update CHANGES,Update CHANGES,"diff --git a/CHANGES b/CHANGES
index 06e5d826f0..b8761d6f5b 100644
--- a/CHANGES
+++ b/CHANGES
@@ -1,4 +1,6 @@
 [1.2.1]
+- API Addition: multiple recipients are now supported by MessageDispatcher.
+- API Change: State#onMessage now takes the message receiver as argument.
 - API Addition: added StackStateMachine to the gdx-ai extension.
 - API change: ShapeRenderer: rect methods accept scale, more methods can work under both line and fill types, auto shape type changing.
 - API change: Built-in ShapeRenderer debugging for Stage, see https://github.com/libgdx/libgdx/pull/2011
",4,4,4
https://github.com/google/ExoPlayer/commit/a3ca5c48b388cdcce89b016d0c635b31ec1f88e7,Update ISSUE_TEMPLATE,Update ISSUE_TEMPLATE,"diff --git a/ISSUE_TEMPLATE b/ISSUE_TEMPLATE
index 3667c8cc969..6e55f3dcd66 100644
--- a/ISSUE_TEMPLATE
+++ b/ISSUE_TEMPLATE
@@ -1,5 +1,7 @@
+*** PLEASE DO NOT IGNORE THIS ISSUE TEMPLATE ***
+
 Please search the existing issues before filing a new one, including issues that
-are closed. When filing a new issue please include all of the following, unless
+are closed. When filing a new issue please include ALL of the following, unless
 you're certain that they're not useful for the particular issue being reported.
 
 - A description of the issue.
",4,4,4
https://github.com/apache/shardingsphere/commit/dc4273686644d327a2810d365ed5cbceeb1cafa0,add select_order_by_with_table_star_table_name,change name select_order_by_with_table_star_table_name for parser,"diff --git a/sharding-core/src/test/resources/parser/select_order_by.xml b/sharding-core/src/test/resources/parser/select_order_by.xml
index 44b30ea4558..44f829146b4 100644
--- a/sharding-core/src/test/resources/parser/select_order_by.xml
+++ b/sharding-core/src/test/resources/parser/select_order_by.xml
@@ -128,7 +128,7 @@
         </order-by-columns>
     </parser-result>
 
-    <parser-result sql-case-id=""select_order_by_with_table_star_alias_name"">
+    <parser-result sql-case-id=""select_order_by_with_table_star_table_name"">
         <tables>
             <table name=""t_order"" />
         </tables>
",2,1,2
https://github.com/libgdx/libgdx/commit/e9219d9f30d01cb669efc39b22e79056c9b4825d,updated CHANGES,Update CHANGES,"diff --git a/CHANGES b/CHANGES
index 467d6555e1..f80ce392ca 100644
--- a/CHANGES
+++ b/CHANGES
@@ -1,4 +1,7 @@
-[1.4.2]
+[1.5.1]
+
+
+[1.5.0]
 - API Addition: IOSInput now uses CMCoreMotion for accelerometer and magnetometer
 - API Addition: Added getter for UITextField on IOS for keyboard customization 
 - API Addition: Added ability to save PixmapPackers to atlas files. See PixmapPackerIO.
",4,4,4
https://github.com/elastic/elasticsearch/commit/74bd4f78818b3fb60c69dc3c985961d7b861605c,remove unused logger,Remove unused property,"diff --git a/pom.xml b/pom.xml
index a752d6531d265..e0baedb018c68 100644
--- a/pom.xml
+++ b/pom.xml
@@ -51,7 +51,6 @@ governing permissions and limitations under the License. -->
         <tests.client.ratio></tests.client.ratio>
         <tests.jvm.argline></tests.jvm.argline>
         <es.logger.level>INFO</es.logger.level>
-        <es.config>${project.build.testOutputDirectory}/elasticsearch.yml</es.config>
     </properties>
 
     <dependencies>
",3,3,3
