url,Content adequacy #1,Conciseness #1,Expressiveness #1,Content adequacy #2,Conciseness #2,Expressiveness #2,Content adequacy #3,Conciseness #3,Expressiveness #3,Content adequacy AVG,Conciseness AVG,Expressiveness AVG,Content adequacy VAR,Conciseness VAR,Expressiveness VAR
https://github.com/jenkinsci/jenkins/commit/286d3141854b48edb38e8e802f0d85fd1b8ffd40,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/spring-projects/spring-framework/commit/33d37e86800ea4500957eb82d4be87e81c3b940f,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/ctripcorp/apollo/commit/84690cc60ff3bcc8ba3c0daf5845063ce59d6398,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/apache/shardingsphere/commit/8e2f52a597ed8a29752b7e07e3d7bcee15e640c4,4 ,4 ,4 ,4 ,4 ,3 ,4 ,4 ,4 ,4,4,4,0,0,0.333333333
https://github.com/redisson/redisson/commit/c5bc1e9cd3510939ef4ce189456d2eb6ac63677c,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/libgdx/libgdx/commit/95740b7b5906a1c84d423da50fae3fd923a0f8c6,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/google/ExoPlayer/commit/a3ca5c48b388cdcce89b016d0c635b31ec1f88e7,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/apache/shardingsphere/commit/dc4273686644d327a2810d365ed5cbceeb1cafa0,2 ,3 ,3 ,2 ,2 ,4 ,1 ,4 ,3 ,2,3,3,0.333333333,1,1
https://github.com/libgdx/libgdx/commit/e9219d9f30d01cb669efc39b22e79056c9b4825d,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4,4,4,0,0,0
https://github.com/elastic/elasticsearch/commit/74bd4f78818b3fb60c69dc3c985961d7b861605c,3 ,3 ,4 ,2 ,2 ,4 ,3 ,4 ,4 ,3,3,3,0.333333333,1,1
https://github.com/google/ExoPlayer/commit/3c6b72ee29f5cebc1079648a73c461a26e035fa8,3 ,4 ,4 ,4 ,4 ,4 ,3 ,4 ,3 ,3,4,4,0.333333333,0,0.333333333
https://github.com/nostra13/Android-Universal-Image-Loader/commit/24ca7dd0dbaee8a011aad6195f33e840793e7df9,4 ,4 ,4 ,3 ,3 ,4 ,3 ,3 ,4 ,3,3,4,0.333333333,0.333333333,0
https://github.com/spring-projects/spring-boot/commit/136cdacb401f867e3ab2e299c209994f985ac98e,3 ,4 ,4 ,2 ,4 ,3 ,2 ,4 ,3 ,2,3,3,0.333333333,1.333333333,0.333333333
https://github.com/jenkinsci/jenkins/commit/fa172f4171a455f8254307e98ae3d2e1e4b65c8c,4 ,4 ,4 ,3 ,3 ,3 ,4 ,4 ,4 ,4,4,4,0.333333333,0.333333333,0.333333333
https://github.com/alibaba/fastjson/commit/6ad50106314398c837ecf37600d7ea57f75950c0,3 ,4 ,4 ,3 ,3 ,3 ,4 ,4 ,4 ,3,4,4,1,0.333333333,0.333333333
https://github.com/alibaba/nacos/commit/e6be0f76347148f40dccefdad62e436b50579306,2 ,2 ,4 ,2 ,2 ,4 ,1 ,3 ,4 ,2,2,3,0.333333333,0.333333333,1
https://github.com/SeleniumHQ/selenium/commit/74139dd78378073c64b89bb9e6fe5696ad8ab7b4,2 ,3 ,2 ,2 ,2 ,2 ,1 ,3 ,1 ,2,3,2,0.333333333,0.333333333,0.333333333
https://github.com/apache/shardingsphere/commit/47178abe6c02148993978b1f615cafa54e20046b,4 ,2 ,2 ,4 ,2 ,2 ,4 ,1 ,2 ,4,2,2,0,0.333333333,0
https://github.com/apache/shardingsphere/commit/225484c4ef0f70f4b120fae98de6fa32bb813738,4 ,2 ,3 ,4 ,2 ,2 ,4 ,1 ,2 ,3,2,2,1.333333333,0.333333333,0.333333333
https://github.com/dianping/cat/commit/f7fb3650df57cdc0baef9c5151316732416418cd,3 ,3 ,4 ,2 ,2 ,4 ,1 ,3 ,3 ,2,3,4,1,0.333333333,0.333333333
https://github.com/apache/shardingsphere/commit/2ebe1ed2112a0ef99dde4903f7299344a509a124,1 ,1 ,4 ,2 ,2 ,3 ,3 ,3 ,3 ,2,2,3,1,1,0.333333333
https://github.com/dbeaver/dbeaver/commit/7e9c72d260125ff6b84dbbd01fe583acf9cbdcbe,2 ,2 ,3 ,2 ,2 ,2 ,3 ,3 ,2 ,2,2,2,0.333333333,0.333333333,1
https://github.com/zxing/zxing/commit/850b88432014cd4bae0644d02d047ed44ea89434,4 ,3 ,4 ,4 ,2 ,3 ,4 ,2 ,4 ,3,2,4,1.333333333,0.333333333,0.333333333
