Database,Title
IEEE,Boosting Neural Commit Message Generation with Code Semantic Analysis
IEEE,ATOM: Commit Message Generation Based on Abstract Syntax Tree and Hybrid Ranking
IEEE,Neural-Machine-Translation-Based Commit Message Generation: How Far Are We?
IEEE,Quality Assurance for Automated Commit Message Generation
IEEE,On Automatically Generating Commit Messages via Summarization of Source Code Changes
IEEE,Towards Automatic Generation of Short Summaries of Commits
IEEE,ChangeScribe: A Tool for Automatically Generating Commit Messages
IEEE,Generating Commit Messages from Diffs using Pointer-Generator Network
IEEE,Automatically generating commit messages from diffs using neural machine translation
IEEE,24765-2010 - ISO/IEC/IEEE International Standard - systems and software engineering -- Vocabulary
I/C,CoreGen: Contextualized Code Representation Learning for Commit Message Generation
I/C,Quality Assurance for Automated Commit Message Generation
I/C,On the Relevance of Cross-project Learning with Nearest Neighbours for Commit Message Generation
I/C,Boosting neural commit message generation with code semantic analysis
I/C,Commit message generation from code differences using hidden markov models
I/C,ATOM: Commit Message Generation Based on Abstract Syntax Tree and Hybrid Ranking
I/C,Context-aware Retrieval-based Deep Commit Message Generation
I/C,Neural-Machine-Translation-Based Commit Message Generation: How Far Are We?
I/C,Commit message generation for source code changes
I/C,Generating Commit Messages from Diffs using Pointer-Generator Network
I/C,Towards Automatic Generation of Short Summaries of Commits
I/C,ChangeScribe: A Tool for Automatically Generating Commit Messages
I/C,On Automatically Generating Commit Messages via Summarization of Source Code Changes
I/C,Unsupervised learning of general-purpose embeddings for code changes
I/C,Learning Human-Written Commit Messages to Document Code Changes
I/C,Comparing approaches to analyze refactoring activity on software repositories
ACM,Context-aware Retrieval-based Deep Commit Message Generation
ACM,Commit Message Generation from Code Differences using Hidden Markov Models
ACM,Neural-machine-translation-based commit message generation: how far are we?
ACM,On the Relevance of Cross-project Learning with Nearest Neighbours for Commit Message Generation
ACM,Boosting neural commit message generation with code semantic analysis
ACM,Unsupervised learning of general-purpose embeddings for code changes
ACM,ChangeScribe: a tool for automatically generating commit messages
ACM,Generating commit messages from diffs using pointer-generator network
ACM,Why did this code change?
ACM,How do developers blog?: an exploratory study
ACM,On the classification of software change messages using multi-label active learning
ACM,RCLinker: automated linking of issue reports and commits leveraging rich contextual information
ACM,Towards automatic generation of short summaries of commits
ACM,Automating app review response generation
ACM,Continuous test generation: enhancing continuous integration with automated test generation
ACM,Generating Question Titles for Stack Overflow from Mined Code Snippets
ACM,SPI: Automated Identification of Security Patches via Commits
ACM,ClDiff: generating concise linked code differences
ACM,Automatic generation of pull request descriptions
ACM,Semi-automatic generation of audience-specific release notes
ACM,Control generation for embedded systems based on composition of modal processes
